"dewpti","hum","pressurei","tempm","wdird","wspdm","Value","wday","mday","nminus1Val","nminus2Val","nminus3Val","nminus4Val","nminus5Val"
50,72,29.83,15,290,10.8,219,2,8,171,162,152,180,207
48.2,67,29.86,15,330,18,86,2,8,219,171,162,152,180
48.2,72,29.89,14,320,25.2,63,2,8,86,219,171,162,152
50,88,29.89,12,330,18,61,2,8,63,86,219,171,162
50,94,29.89,11,320,7.2,64,3,9,61,63,86,219,171
50,94,29.86,11,310,3.6,64,3,9,64,61,63,86,219
51.8,100,29.86,11,350,3.6,69,3,9,64,64,61,63,86
50,94,29.86,11,360,14.4,80,3,9,69,64,64,61,63
50,94,29.86,11,350,3.6,71,3,9,80,69,64,64,61
50,94,29.86,11,340,7.2,73,3,9,71,80,69,64,64
50,94,29.86,11,340,10.8,69,3,9,73,71,80,69,64
50,94,29.86,11,360,3.6,69,3,9,69,73,71,80,69
50,82,29.89,13,320,10.8,64,3,9,69,69,73,71,80
50,77,29.89,14,350,10.8,69,3,9,64,69,69,73,71
48.2,63,29.89,16,340,10.8,70,3,9,69,64,69,69,73
48.2,59,29.92,17,290,10.8,69,3,9,70,69,64,69,69
46.4,49,29.89,19,300,10.8,56,3,9,69,70,69,64,69
46.4,46,29.86,20,310,10.8,52,3,9,56,69,70,69,64
46.4,43,29.86,21,320,10.8,54,3,9,52,56,69,70,69
44.6,38,29.86,22,330,7.2,50,3,9,54,52,56,69,70
44.6,38,29.86,22,330,10.8,57,3,9,50,54,52,56,69
44.6,40,29.86,21,340,10.8,71,3,9,57,50,54,52,56
44.6,40,29.86,21,330,10.8,118,3,9,71,57,50,54,52
46.4,46,29.89,20,320,18,128,3,9,118,71,57,50,54
48.2,52,29.92,19,300,10.8,130,3,9,128,118,71,57,50
48.2,59,29.95,17,290,7.2,138,3,9,130,128,118,71,57
48.2,63,29.95,16,320,7.2,142,3,9,138,130,128,118,71
48.2,63,29.95,16,320,7.2,115,3,9,142,138,130,128,118
48.2,63,29.95,16,320,14.4,113,4,10,115,142,138,130,128
48.2,67,29.98,15,310,7.2,126,4,10,113,115,142,138,130
48.2,72,29.98,14,350,14.4,144,4,10,126,113,115,142,138
48.2,77,29.95,13,360,14.4,150,4,10,144,126,113,115,142
48.2,77,29.98,13,350,14.4,129,4,10,150,144,126,113,115
48.2,77,29.95,13,340,14.4,123,4,10,129,150,144,126,113
48.2,77,29.95,13,340,18,113,4,10,123,129,150,144,126
48.2,77,29.98,13,360,14.4,114,4,10,113,123,129,150,144
46.4,72,29.98,13,320,21.6,111,4,10,114,113,123,129,150
46.4,72,30.01,13,350,21.6,105,4,10,111,114,113,123,129
44.6,63,30.01,14,340,25.2,90,4,10,105,111,114,113,123
44.6,63,30.01,14,300,18,92,4,10,90,105,111,114,113
42.8,55,29.98,15,310,21.6,94,4,10,92,90,105,111,114
41,48,29.98,16,330,18,79,4,10,94,92,90,105,111
39.2,45,29.95,16,320,18,59,4,10,79,94,92,90,105
37.4,45,29.95,15,340,14.4,49,4,10,59,79,94,92,90
33.8,39,29.95,15,330,18,47,4,10,49,59,79,94,92
33.8,39,29.95,15,300,14.4,45,4,10,47,49,59,79,94
33.8,41,29.98,14,300,10.8,53,4,10,45,47,49,59,79
35.6,47,30.01,13,290,10.8,54,4,10,53,45,47,49,59
37.4,58,30.06,11,320,7.2,57,4,10,54,53,45,47,49
37.4,62,30.06,10,330,10.8,56,4,10,57,54,53,45,47
42.8,87,30.09,8,320,7.2,49,4,10,56,57,54,53,45
42.8,87,30.09,8,340,3.6,49,4,10,49,56,57,54,53
44.6,93,30.12,8,320,0,58,5,11,49,49,56,57,54
44.6,93,30.12,8,310,3.6,58,5,11,58,49,49,56,57
46.4,93,30.12,9,350,10.8,64,5,11,58,58,49,49,56
46.4,100,30.12,8,360,3.6,72,5,11,64,58,58,49,49
46.4,93,30.15,9,350,10.8,88,5,11,72,64,58,58,49
46.4,93,30.15,9,340,3.6,88,5,11,88,72,64,58,58
46.4,93,30.15,9,340,3.6,87,5,11,88,88,72,64,58
46.4,93,30.18,9,360,7.2,72,5,11,87,88,88,72,64
42.8,76,30.18,10,320,7.2,66,5,11,72,87,88,88,72
42.8,67,30.21,12,350,14.4,58,5,11,66,72,87,88,88
42.8,63,30.21,13,340,10.8,55,5,11,58,66,72,87,88
37.4,45,30.21,15,290,7.2,39,5,11,55,58,66,72,87
37.4,42,30.18,16,300,10.8,47,5,11,39,55,58,66,72
37.4,39,30.18,17,310,10.8,46,5,11,47,39,55,58,66
37.4,37,30.15,18,320,10.8,48,5,11,46,47,39,55,58
35.6,37,30.15,17,330,10.8,58,5,11,48,46,47,39,55
35.6,37,30.12,17,330,10.8,62,5,11,58,48,46,47,39
35.6,39,30.12,16,320,14.4,68,5,11,62,58,48,46,47
37.4,45,30.15,15,340,18,72,5,11,68,62,58,48,46
37.4,48,30.15,14,330,10.8,79,5,11,72,68,62,58,48
