"dewpti","hum","pressurei","tempm","wdird","wspdm","Value","wday","mday","nminus5Val","ENE","ESE","East","NE","NNE","NNW","NW","North","SE","SSE","SSW","SW","South","Variable","WNW","WSW","West"
50,72,29.83,15,290,10.8,219,2,8,207,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48.2,67,29.86,15,330,18,86,2,8,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48.2,72,29.89,14,320,25.2,63,2,8,152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,88,29.89,12,330,18,61,2,8,162,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,94,29.89,11,320,7.2,64,3,9,171,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,94,29.86,11,310,3.6,64,3,9,219,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51.8,100,29.86,11,350,3.6,69,3,9,86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,94,29.86,11,360,14.4,80,3,9,63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,94,29.86,11,350,3.6,71,3,9,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,94,29.86,11,340,7.2,73,3,9,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,94,29.86,11,333.206940496,10.8,69,3,9,64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,94,29.86,11,360,3.6,69,3,9,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,82,29.89,13,320,10.8,64,3,9,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,77,29.89,14,350,10.8,69,3,9,71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48.2,63,29.89,16,333.206940496,10.8,70,3,9,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48.2,59,29.92,17,290,10.8,69,3,9,69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46.4,49,29.89,19,300,10.8,56,3,9,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46.4,46,29.86,20,310,10.8,52,3,9,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46.4,43,29.86,21,320,10.8,54,3,9,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44.6,38,29.86,22,330,7.2,50,3,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44.6,38,29.86,22,330,10.8,57,3,9,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44.6,40,29.86,21,340,10.8,71,3,9,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.6,40,29.86,21,330,10.8,118,3,9,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46.4,46,29.89,20,320,18,128,3,9,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48.2,52,29.92,19,300,10.8,130,3,9,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48.2,59,29.95,17,290,7.2,138,3,9,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48.2,63,29.95,16,320,7.2,142,3,9,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48.2,63,29.95,16,320,7.2,115,3,9,118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48.2,63,29.95,16,320,14.4,113,4,10,128,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48.2,67,29.98,15,310,7.2,126,4,10,130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,72,29.98,14,350,14.4,144,4,10,138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,77,29.95,13,360,14.4,150,4,10,142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,77,29.98,13,350,14.4,129,4,10,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,77,29.95,13,340,14.4,123,4,10,113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,77,29.95,13,333.206940496,18,113,4,10,126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,77,29.98,13,360,14.4,114,4,10,144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.4,72,29.98,13,320,21.6,111,4,10,150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.4,72,30.01,13,350,21.6,105,4,10,129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.6,63,30.01,14,333.206940496,25.2,90,4,10,123,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44.6,63,30.01,14,300,18,92,4,10,113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42.8,55,29.98,15,310,21.6,94,4,10,114,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,48,29.98,16,330,18,79,4,10,111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39.2,45,29.95,16,320,18,59,4,10,105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37.4,45,29.95,15,340,14.4,49,4,10,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33.8,39,29.95,15,330,18,47,4,10,92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33.8,39,29.95,15,300,14.4,45,4,10,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33.8,41,29.98,14,300,10.8,53,4,10,79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35.6,47,30.01,13,290,10.8,54,4,10,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37.4,58,30.06,11,320,7.2,57,4,10,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.4,62,30.06,10,330,10.8,56,4,10,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42.8,87,30.09,8,320,7.2,49,4,10,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42.8,87,30.09,8,340,3.6,49,4,10,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44.6,93,30.12,8,320,0,58,5,11,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44.6,93,30.12,8,310,3.6,58,5,11,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46.4,93,30.12,9,350,10.8,64,5,11,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46.4,100,30.12,8,360,3.6,72,5,11,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46.4,93,30.15,9,350,10.8,88,5,11,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46.4,93,30.15,9,340,3.6,88,5,11,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46.4,93,30.15,9,333.206940496,3.6,87,5,11,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46.4,93,30.18,9,360,7.2,72,5,11,64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42.8,76,30.18,10,320,7.2,66,5,11,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42.8,67,30.21,12,350,14.4,58,5,11,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42.8,63,30.21,13,333.206940496,10.8,55,5,11,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37.4,45,30.21,15,290,7.2,39,5,11,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37.4,42,30.18,16,300,10.8,47,5,11,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37.4,39,30.18,17,310,10.8,46,5,11,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37.4,37,30.15,18,320,10.8,48,5,11,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35.6,37,30.15,17,330,10.8,58,5,11,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35.6,37,30.12,17,330,10.8,62,5,11,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35.6,39,30.12,16,320,14.4,68,5,11,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37.4,45,30.15,15,340,18,72,5,11,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37.4,48,30.15,14,330,10.8,79,5,11,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39.2,51,30.15,14,300,10.8,100,5,11,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,58,30.18,13,300,10.8,107,5,11,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42.8,63,30.18,13,290,10.8,115,5,11,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42.8,63,30.18,13,320,10.8,109,5,11,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42.8,63,30.18,13,320,10.8,105,6,12,79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42.8,67,30.18,12,310,7.2,97,6,12,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44.6,72,30.18,12,350,7.2,92,6,12,107,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42.8,67,30.18,12,350,7.2,107,6,12,115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,67,30.18,11,360,7.2,106,6,12,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42.8,76,30.15,10,350,7.2,117,6,12,105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.6,82,30.18,10,340,10.8,129,6,12,97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44.6,82,30.18,10,333.206940496,7.2,120,6,12,92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44.6,76,30.18,11,350,7.2,103,6,12,107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42.8,67,30.18,12,320,7.2,46,6,12,106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42.8,63,30.21,13,350,21.6,60,6,12,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39.2,62,30.21,11,290,28.8,47,6,12,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37.4,51,30.18,13,300,14.4,36,6,12,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35.6,47,30.12,13,310,14.4,43,6,12,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
